"","hgnc","ensembl_gene_id","entrez","chromosome","start_position","end_position","strand"
"8686","HAUS2","ENSG00000137814",55142,"15",42548828,42569994,"+"
"8687","SREBF1","ENSG00000072310",6720,"17",17810399,17837002,"-"
"8688","LRRC59","ENSG00000108829",55379,"17",50375059,50397523,"-"
"8689","CA4","ENSG00000167434",762,"17",60149942,60170899,"+"
"8690","SIRT7","ENSG00000187531",51547,"17",81911939,81921323,"-"
"8691","TRAPPC6A","ENSG00000007255",79090,"19",45162928,45178237,"-"
"8692","SLC12A5-AS1","ENSG00000204044",109729184,"20",46013500,46022073,"-"
"8693","MIR3648-2","ENSG00000264462",103504731,"21",8986999,8987178,"+"
"8694","TFIP11","ENSG00000100109",24144,"22",26491225,26512505,"-"
"8695","COMMD10","ENSG00000145781",51397,"5",116085016,116412762,"+"
"8696","GPR63","ENSG00000112218",81491,"6",96794125,96837477,"-"
"8697","641638",NA,641638,NA,NA,NA,NA
"8698","MICU3","ENSG00000155970",286097,"8",17027238,17122642,"+"
"8699","C12orf43","ENSG00000157895",64897,"12",121000486,121016502,"-"
"8700","ZMYM3","ENSG00000147130",9203,"X",71239624,71255146,"-"
"8701","HERC1","ENSG00000103657",8925,"15",63608618,63833948,"-"
"8702","ZBTB18","ENSG00000179456",10472,"1",244048547,244057476,"+"
"8703","ADAMTS4","ENSG00000158859",9507,"1",161184302,161199054,"-"
"8704","DTX2","ENSG00000282379",113878,"7",76461676,76505995,"+"
"8705","TACC1","ENSG00000147526",6867,"8",38728186,38853028,"+"
"8706","IRAK1","ENSG00000184216",3654,"X",154010506,154019902,"-"
"8707","DESI2","ENSG00000121644",51029,"1",244653103,244709033,"+"
"8708","PARP3","ENSG00000041880",10039,"3",51942345,51948867,"+"
"8709","NRF1","ENSG00000106459",4899,"7",129611720,129757082,"+"
"8710","IMP3","ENSG00000177971",55272,"15",75639085,75648706,"-"
"8711","EFCAB13","ENSG00000178852",124989,"17",47323290,47441312,"+"
"8712","TMEM216","ENSG00000187049",51259,"11",61392393,61398866,"+"
"8713","101929667","ENSG00000287255",101929667,"2",40511921,40545797,"+"
"8714","IFTAP","ENSG00000166352",119710,"11",36594369,36675695,"+"
"8715","GMPS","ENSG00000163655",8833,"3",155870650,155944020,"+"
"8716","MIR3142HG","ENSG00000253522",107075116,"5",160438594,160600965,"+"
"8717","COL15A1","ENSG00000204291",1306,"9",98943179,99070787,"+"
"8718","MGMT","ENSG00000170430",4255,"10",129467190,129770983,"+"
"8719","GOLGA8B","ENSG00000215252",440270,"15",34525095,34588503,"-"
"8720","ZNF770","ENSG00000198146",54989,"15",34978341,34988287,"-"
"8721","ABHD15","ENSG00000168792",116236,"17",29560547,29567037,"-"
"8722","AARSD1","ENSG00000266967",80755,"17",42950526,42964498,"-"
"8723","MIF4GD-DT","ENSG00000263843",100287042,"17",75271369,75273895,"+"
"8724","FBXW9","ENSG00000132004",84261,"19",12688053,12696631,"-"
"8725","RPS16","ENSG00000105193",6217,"19",39433137,39435949,"-"
"8726","RTN4R","ENSG00000040608",65078,"22",20241415,20283246,"-"
"8727","PLXNB2","ENSG00000196576",23654,"22",50274979,50307646,"-"
"8728","ZNF711","ENSG00000147180",7552,"X",85243991,85273362,"+"
"8729","TYW3","ENSG00000162623",127253,"1",74733152,74766678,"+"
"8730","PPM1N","ENSG00000213889",147699,"19",45488777,45503129,"+"
"8731","ZNF586","ENSG00000083828",54807,"19",57769655,57819939,"+"
"8732","SLC25A37","ENSG00000147454",51312,"8",23528956,23575463,"+"
"8733","ZNF875","ENSG00000181666",284459,"19",37312837,37369365,"+"
"8734","XPO5","ENSG00000124571",57510,"6",43522334,43576038,"-"
"8735","CDC7","ENSG00000097046",8317,"1",91500851,91525764,"+"
"8736","HCFC1R1","ENSG00000103145",54985,"16",3022625,3024286,"-"
"8737","SURF4","ENSG00000280951",6836,"9",133361450,133376166,"-"
"8738","HABP4","ENSG00000130956",22927,"9",96450169,96491336,"+"
"8739","DHX36","ENSG00000174953",170506,"3",154272546,154324487,"-"
"8740","PIGQ","ENSG00000007541",9091,"16",566995,584109,"+"
"8741","C5AR2","ENSG00000134830",27202,"19",47332175,47347329,"+"
"8742","MIR6807","ENSG00000275924",102465976,"19",58550285,58550376,"+"
"8743","ZBTB9","ENSG00000236515",221504,"6",33453970,33457544,"+"
"8744","105374968",NA,105374968,NA,NA,NA,NA
"8745","101927045",NA,101927045,NA,NA,NA,NA
"8746","SULT1A1","ENSG00000196502",6817,"16",28605196,28610044,"-"
"8747","ZNF141","ENSG00000131127",7700,"4",337814,384868,"+"
"8748","RUSC2","ENSG00000198853",9853,"9",35490111,35561898,"+"
"8749","SMAD2","ENSG00000175387",4087,"18",47808957,47931146,"-"
"8750","DDX3X","ENSG00000215301",1654,"X",41333348,41364472,"+"
"8751","PCGF6","ENSG00000156374",84108,"10",103302796,103351144,"-"
"8752","RPL26L1","ENSG00000037241",51121,"5",172958729,172969771,"+"
"8753","115271120",NA,115271120,NA,NA,NA,NA
"8754","PRPF38B","ENSG00000134186",55119,"1",108692310,108702928,"+"
"8755","SCN1A-AS1","ENSG00000236107",101929680,"2",165957188,166390771,"+"
"8756","SACM1L","ENSG00000211456",22908,"3",45689056,45745412,"+"
"8757","LIX1L","ENSG00000271601",128077,"1",145933423,145958017,"-"
"8758","GMDS","ENSG00000112699",2762,"6",1623806,2245605,"-"
"8759","PRAG1","ENSG00000292308",157285,"8",8317736,8386439,"-"
"8760","ATAD3C","ENSG00000215915",219293,"1",1449689,1470163,"+"
"8761","EFHB","ENSG00000163576",151651,"3",19879472,19947025,"-"
"8762","PPT2","ENSG00000206256",9374,"6",32153441,32163678,"+"
"8763","101927897",NA,101927897,NA,NA,NA,NA
"8764","GCDH","ENSG00000105607",2639,"19",12891128,12915126,"+"
"8765","NDUFB7","ENSG00000099795",4713,"19",14566078,14572066,"-"
"8766","TMEM86B","ENSG00000180089",255043,"19",55226638,55228784,"-"
"8767","POU2F1","ENSG00000143190",5451,"1",167220876,167427345,"+"
"8768","HJURP","ENSG00000123485",55355,"2",233833416,233854566,"-"
"8769","NAV2","ENSG00000166833",89797,"11",19350724,20121601,"+"
"8770","POLD3","ENSG00000077514",10714,"11",74493851,74669117,"+"
"8771","OLR1","ENSG00000173391",4973,"12",10158301,10172138,"-"
"8772","CWC25","ENSG00000276761",54883,"17",38800441,38825355,"-"
"8773","ZNF587","ENSG00000198466",84914,"19",57849859,57865117,"+"
"8774","RARG","ENSG00000172819",5916,"12",53210567,53232980,"-"
"8775","CCDC40","ENSG00000291505",55036,"17",80036632,80100613,"+"
"8776","112268098",NA,112268098,NA,NA,NA,NA
"8777","MAPK8","ENSG00000107643",5599,"10",48306639,48439360,"+"
"8778","NDUFC2-KCTD14","ENSG00000259112",100532726,"11",78016971,78079865,"-"
"8779","728323",NA,728323,NA,NA,NA,NA
"8780","RELT","ENSG00000054967",84957,"11",73376399,73397474,"+"
"8781","MIR4523","ENSG00000284162",100616122,"17",29390662,29390730,"+"
"8782","UBA5","ENSG00000081307",79876,"3",132654446,132679794,"+"
"8783","EIF2B5","ENSG00000145191",8893,"3",184135038,184146127,"+"
"8784","UGCG","ENSG00000148154",7357,"9",111896814,111935369,"+"
"8785","RNF215","ENSG00000099999",200312,"22",30368811,30421771,"-"
"8786","105371464",NA,105371464,NA,NA,NA,NA
"8787","URB2","ENSG00000135763",9816,"1",229626247,229660200,"+"
"8788","GFM1","ENSG00000168827",85476,"3",158644527,158695581,"+"
"8789","SP4","ENSG00000105866",6671,"7",21428043,21514822,"+"
"8790","107986710",NA,107986710,NA,NA,NA,NA
"8791","107984219",NA,107984219,NA,NA,NA,NA
"8792","ANP32AP1","ENSG00000259516",723972,"15",35237326,35238062,"+"
"8793","PLIN4","ENSG00000167676",729359,"19",4502192,4518486,"-"
"8794","ITPA","ENSG00000125877",3704,"20",3208868,3223870,"+"
"8795","CEP135","ENSG00000174799",9662,"4",55948871,56033361,"+"
"8796","MACROD1","ENSG00000133315",28992,"11",63998558,64166113,"-"
"8797","PDPK1","ENSG00000140992",5170,"16",2537979,2603190,"+"
"8798","MAST4","ENSG00000069020",375449,"5",66596380,67169593,"+"
"8799","C18orf32","ENSG00000177576",497661,"18",49477243,49487252,"-"
"8800","ZNF407","ENSG00000215421",55628,"18",74597870,75065671,"+"
"8801","HPRT1","ENSG00000165704",3251,"X",134460165,134520513,"+"
"8802","CIZ1","ENSG00000148337",25792,"9",128161251,128204383,"-"
"8803","SPON1","ENSG00000262655",10418,"11",13962723,14268133,"+"
"8804","RNH1","ENSG00000276230",6050,"11",494512,507300,"-"
"8805","FLVCR2-AS1","ENSG00000224721",102724153,"14",75561588,75579657,"-"
"8806","BMP2K","ENSG00000138756",55589,"4",78776342,78916365,"+"
"8807","AACS","ENSG00000081760",65985,"12",125065434,125143333,"+"
"8808","UBD","ENSG00000213886",10537,"6",29555515,29559732,"-"
"8809","GALNT18","ENSG00000110328",374378,"11",11270877,11622005,"-"
"8810","RUFY1-AS1","ENSG00000283808",101928445,"5",179595904,179603741,"-"
"8811","AHR","ENSG00000106546",196,"7",16916359,17346152,"+"
"8812","RAP2C","ENSG00000123728",57826,"X",132203024,132219480,"-"
"8813","PLD2","ENSG00000129219",5338,"17",4807152,4823434,"+"
"8814","AIMP2","ENSG00000106305",7965,"7",6009255,6023834,"+"
"8815","SLC25A51","ENSG00000122696",92014,"9",37879400,37904353,"-"
"8816","CRYZL2P","ENSG00000293477",730102,"1",178006133,178037999,"-"
"8817","SLBP","ENSG00000163950",7884,"4",1692731,1712344,"-"
"8818","DDX6","ENSG00000110367",1656,"11",118747763,118791164,"-"
"8819","SNORA67","ENSG00000277985",26781,"17",7577955,7578091,"+"
"8820","MTPAP","ENSG00000107951",55149,"10",30309801,30374448,"-"
"8821","TMEM221","ENSG00000188051",100130519,"19",17435509,17448668,"-"
"8822","BAX","ENSG00000087088",581,"19",48954815,48961798,"+"
"8823","LRRC23","ENSG00000010626",10233,"12",6873569,6914241,"+"
"8824","USB1","ENSG00000103005",79650,"16",57999546,58021618,"+"
"8825","RTF2","ENSG00000022277",51507,"20",56468585,56519449,"+"
"8826","VPS37A","ENSG00000155975",137492,"8",17246931,17302427,"+"
"8827","FMO4","ENSG00000076258",2329,"1",171314183,171342084,"+"
"8828","728806",NA,728806,NA,NA,NA,NA
"8829","SYAP1","ENSG00000169895",94056,"X",16719612,16765340,"+"
"8830","RELL2","ENSG00000164620",285613,"5",141636950,141641064,"+"
"8831","PRUNE1","ENSG00000143363",58497,"1",151008420,151035713,"+"
"8832","FCHSD2","ENSG00000137478",9873,"11",72836745,73142318,"-"
"8833","XKR8","ENSG00000158156",55113,"1",27959588,27968093,"+"
"8834","MXD1","ENSG00000059728",4084,"2",69897688,69942945,"+"
"8835","PPP2R3A","ENSG00000073711",5523,"3",135965728,136147894,"+"
"8836","CSPP1","ENSG00000104218",79848,"8",67062417,67196778,"+"
"8837","NRAP","ENSG00000197893",4892,"10",113588714,113664070,"-"
"8838","ARF6","ENSG00000165527",382,"14",49893079,49897054,"+"
"8839","HAUS5","ENSG00000249115",23354,"19",35612735,35625355,"+"
"8840","NFKBID","ENSG00000167604",84807,"19",35887630,35902303,"-"
"8841","CBY1","ENSG00000100211",25776,"22",38656636,38673854,"+"
"8842","ATP6AP2","ENSG00000182220",10159,"X",40579372,40606848,"+"
"8843","SYTL4","ENSG00000102362",94121,"X",100671783,100732123,"-"
"8844","IQCB1","ENSG00000173226",9657,"3",121769761,121835079,"-"
"8845","B3GALT6","ENSG00000176022",126792,"1",1232237,1235041,"+"
"8846","POGK","ENSG00000143157",57645,"1",166839447,166856359,"+"
"8847","MIR3620","ENSG00000284163",100500810,"1",228097263,228097341,"+"
"8848","CDC123","ENSG00000151465",8872,"10",12195965,12250589,"+"
"8849","ATP2A1","ENSG00000196296",487,"16",28878405,28904466,"+"
"8850","MNT","ENSG00000070444",4335,"17",2384073,2401104,"-"
"8851","CFAP61","ENSG00000089101",26074,"20",20052514,20360703,"+"
"8852","NCOA6","ENSG00000198646",23054,"20",34689097,34825651,"-"
"8853","MYBBP1A","ENSG00000132382",10514,"17",4538897,4555386,"-"
"8854","WDSUB1","ENSG00000196151",151525,"2",159235798,159286703,"-"
"8855","OTUD6B","ENSG00000155100",51633,"8",91070196,91087095,"+"
"8856","105376860",NA,105376860,NA,NA,NA,NA
"8857","NXF3","ENSG00000147206",56000,"X",103075810,103093143,"-"
"8858","NLRC4","ENSG00000091106",58484,"2",32224453,32265732,"-"
"8859","SMN2","ENSG00000273772",6606,"5",70925030,70953942,"+"
"8860","PROS1","ENSG00000184500",5627,"3",93873051,93980003,"-"
"8861","SYPL1","ENSG00000008282",6856,"7",106090505,106112589,"-"
"8862","MIR3615","ENSG00000284186",100500847,"17",74748613,74748699,"+"
"8863","P3H2","ENSG00000090530",55214,"3",189956728,190122437,"-"
"8864","MAP2K2","ENSG00000126934",5605,"19",4090321,4124122,"-"
"8865","TBC1D8-AS1","ENSG00000272902",100506286,"2",101151660,101155412,"+"
"8866","CCM2","ENSG00000136280",83605,"7",44999475,45076469,"+"
"8867","NUTM2A","ENSG00000184923",728118,"10",87225448,87236908,"+"
"8868","MAGOHB","ENSG00000111196",55110,"12",10604190,10613609,"-"
"8869","RASAL2-AS1","ENSG00000224687",100302401,"1",178090677,178094444,"-"
"8870","MYCBP","ENSG00000214114",26292,"1",38862493,38873368,"-"
"8871","CDPF1","ENSG00000205643",150383,"22",46244011,46250311,"-"
"8872","105371433",NA,105371433,NA,NA,NA,NA
"8873","100506606","ENSG00000257176",100506606,"12",29277955,29317904,"-"
"8874","RYR1","ENSG00000196218",6261,"19",38433691,38595273,"+"
"8875","JMJD1C","ENSG00000171988",221037,"10",63167221,63521850,"-"
"8876","ZMYM5","ENSG00000132950",9205,"13",19823482,19863649,"-"
"8877","ITGB2","ENSG00000160255",3689,"21",44885953,44931989,"-"
"8878","105379507","ENSG00000280441",105379507,"21",8380643,8454792,"+"
"8879","MIR1184-3","ENSG00000221603",100422977,"X",155457517,155457615,"+"
"8880","RBM12B","ENSG00000183808",389677,"8",93728155,93741017,"-"
"8881","LINC00680","ENSG00000290555",106660612,"6",57855890,57961501,"-"
"8882","SGTB","ENSG00000197860",54557,"5",65665928,65723035,"-"
"8883","RPS2","ENSG00000291931",6187,"16",1962058,1964841,"-"
"8884","107133515",NA,107133515,NA,NA,NA,NA
"8885","KIF2C","ENSG00000142945",11004,"1",44739818,44767767,"+"
"8886","106635532",NA,106635532,NA,NA,NA,NA
"8887","105374101","ENSG00000289469",105374101,"3",129183767,129225602,"+"
"8888","26770",NA,26770,NA,NA,NA,NA
"8889","ANAPC10","ENSG00000164162",10393,"4",144831908,145098541,"-"
"8890","DGCR6L","ENSG00000128185",85359,"22",20314238,20320080,"-"
"8891","PQBP1","ENSG00000102103",10084,"X",48890197,48903402,"+"
"8892","SESTD1","ENSG00000187231",91404,"2",179101678,179264832,"-"
"8893","NAPRT","ENSG00000278488",93100,"8",143574785,143578649,"-"
"8894","105378726",NA,105378726,NA,NA,NA,NA
"8895","107987175",NA,107987175,NA,NA,NA,NA
"8896","ZNF18","ENSG00000154957",7566,"17",11977439,11997475,"-"
"8897","DAPK3","ENSG00000167657",1613,"19",3958453,3971123,"-"
"8898","ZNF559","ENSG00000188321",84527,"19",9323772,9351162,"+"
"8899","KDM4C","ENSG00000107077",23081,"9",6720863,7175648,"+"
"8900","S100A4","ENSG00000196154",6275,"1",153543613,153550136,"-"
"8901","MICU1","ENSG00000107745",10367,"10",72367340,72626131,"-"
"8902","USP5","ENSG00000111667",8078,"12",6852148,6866632,"+"
"8903","GSK3A","ENSG00000105723",2931,"19",42226225,42242625,"-"
"8904","MEN1","ENSG00000133895",4221,"11",64803510,64811294,"-"
"8905","105374952",NA,105374952,NA,NA,NA,NA
"8906","PHYH","ENSG00000107537",5264,"10",13277796,13302412,"-"
"8907","FURIN","ENSG00000140564",5045,"15",90868588,90883564,"+"
"8908","101927864",NA,101927864,NA,NA,NA,NA
"8909","100129503",NA,100129503,NA,NA,NA,NA
"8910","BCL3","ENSG00000069399",602,"19",44747705,44760044,"+"
"8911","107985653",NA,107985653,NA,NA,NA,NA
"8912","107985921",NA,107985921,NA,NA,NA,NA
"8913","U2SURP","ENSG00000163714",23350,"3",142964497,143060725,"+"
"8914","INO80E","ENSG00000169592",283899,"16",29995715,30005793,"+"
"8915","SGSM2","ENSG00000141258",9905,"17",2337498,2381058,"+"
"8916","CCT8","ENSG00000291533",10694,"21",29055805,29073797,"-"
"8917","SH3BGRL","ENSG00000131171",6451,"X",81202102,81298547,"+"
"8918","BOLA2B.1","ENSG00000169627",552900,"16",30192932,30194306,"-"
"8919","LMLN","ENSG00000185621",89782,"3",197960200,198043720,"+"
"8920","SEL1L","ENSG00000071537",6400,"14",81471547,81533853,"-"
"8921","105375112",NA,105375112,NA,NA,NA,NA
"8922","KIAA1328","ENSG00000150477",57536,"18",36829106,37232172,"+"
"8923","SPATA7","ENSG00000042317",55812,"14",88384924,88470350,"+"
"8924","MOGS","ENSG00000115275",7841,"2",74461057,74465410,"-"
"8925","TMX4","ENSG00000125827",56255,"20",7977346,8019805,"-"
"8926","SOWAHD","ENSG00000187808",347454,"X",119758588,119760202,"+"
"8927","ZFPM1","ENSG00000179588",161882,"16",88453280,88537031,"+"
"8928","SVBP","ENSG00000177868",374969,"1",42807052,42817397,"-"
"8929","11042",NA,11042,NA,NA,NA,NA
"8930","SH2D3A","ENSG00000125731",10045,"19",6752160,6767463,"-"
"8931","ARFGAP3","ENSG00000242247",26286,"22",42796502,42858106,"-"
"8932","MIR4435-2HG","ENSG00000172965",541471,"2",111006015,111523376,"-"
"8933","105373786",NA,105373786,NA,NA,NA,NA
"8934","EAF2","ENSG00000145088",55840,"3",121835183,121886526,"+"
"8935","BRD9","ENSG00000028310",65980,"5",850291,892801,"-"
"8936","FAM20C","ENSG00000288499",56975,"7",192571,260772,"+"
"8937","SH2B2","ENSG00000160999",10603,"7",102285091,102321711,"+"
"8938","100132403",NA,100132403,NA,NA,NA,NA
"8939","107984504",NA,107984504,NA,NA,NA,NA
"8940","VRK1","ENSG00000100749",7443,"14",96797304,96954846,"+"
"8941","GALK2","ENSG00000156958",2585,"15",49155656,49367869,"+"
"8942","UNKL","ENSG00000059145",64718,"16",1363205,1414751,"-"
"8943","SSH2","ENSG00000141298",85464,"17",29625938,29930276,"-"
"8944","SDCBP2-AS1","ENSG00000234684",100507495,"20",1325366,1378735,"+"
"8945","FLVCR1","ENSG00000162769",28982,"1",212858275,212899363,"+"
"8946","MZT2B","ENSG00000292119",80097,"2",130181737,130190729,"+"
"8947","PNN","ENSG00000100941",5411,"14",39175183,39183220,"+"
"8948","CASD1","ENSG00000127995",64921,"7",94509219,94557019,"+"
"8949","ULK1","ENSG00000177169",8408,"12",131894622,131923150,"+"
"8950","UAP1","ENSG00000117143",6675,"1",162561722,162601240,"+"
"8951","ZNF76","ENSG00000065029",7629,"6",35258909,35295985,"+"
"8952","MESP2","ENSG00000188095",145873,"15",89760591,89778754,"+"
"8953","AGO4","ENSG00000134698",192670,"1",35808016,35857890,"+"
"8954","WDR77","ENSG00000116455",79084,"1",111439890,111449256,"-"
"8955","IWS1","ENSG00000163166",55677,"2",127436207,127526886,"-"
"8956","MAP3K7","ENSG00000135341",6885,"6",90513573,90587086,"-"
"8957","LOH12CR2","ENSG00000281234",503693,"12",12355401,12357067,"-"
"8958","DDN-AS1","ENSG00000257913",105369758,"12",48998367,49019243,"+"
"8959","RASSF3","ENSG00000153179",283349,"12",64507001,64697564,"+"
"8960","C14orf93","ENSG00000100802",60686,"14",22985894,23010166,"-"
"8961","LRRC74A","ENSG00000100565",145497,"14",76826372,76870304,"+"
"8962","RNF216","ENSG00000011275",54476,"7",5620047,5781696,"-"
"8963","USP47","ENSG00000170242",55031,"11",11841423,11961887,"+"
"8964","AP2S1","ENSG00000042753",1175,"19",46838136,46850846,"-"
"8965","ARMCX5-GPRASP2","ENSG00000286237",100528062,"X",102712495,102753530,"+"
"8966","MAP3K2-DT","ENSG00000236682",100506922,"2",127387137,127406559,"+"
"8967","FANCC","ENSG00000158169",2176,"9",95099054,95426796,"-"
"8968","CACTIN","ENSG00000105298",58509,"19",3610645,3626815,"-"
"8969","CHIC1","ENSG00000204116",53344,"X",73563197,73687111,"+"
"8970","SNHG10","ENSG00000247092",283596,"14",95521937,95534925,"-"
"8971","CCNL2","ENSG00000221978",81669,"1",1385711,1399335,"-"
"8972","PTPN14","ENSG00000152104",5784,"1",214348700,214552449,"-"
"8973","SLC30A6","ENSG00000152683",55676,"2",32165841,32224379,"+"
"8974","SNCAIP","ENSG00000064692",9627,"5",122311354,122464219,"+"
"8975","MTMR7","ENSG00000003987",9108,"8",17296794,17413528,"-"
"8976","C14orf28","ENSG00000179476",122525,"14",44897275,44907257,"+"
"8977","UTP4","ENSG00000141076",84916,"16",69131291,69231130,"+"
"8978","ZSWIM9","ENSG00000185453",374920,"19",48170680,48197620,"+"
"8979","ZNF347","ENSG00000197937",84671,"19",53124072,53159075,"-"
"8980","IPO9-AS1","ENSG00000231871",100873949,"1",201688259,201829559,"-"
"8981","PRPF39","ENSG00000185246",55015,"14",45084107,45116282,"+"
"8982","MTIF3","ENSG00000122033",219402,"13",27435643,27450591,"-"
"8983","MIR611","ENSG00000284108",693196,"11",61792495,61792561,"-"
"8984","107985688",NA,107985688,NA,NA,NA,NA
"8985","SBDSP1","ENSG00000291152",155370,"7",72829374,72837399,"+"
"8986","SEPSECS","ENSG00000109618",51091,"4",25120014,25160550,"-"
"8987","6981",NA,6981,NA,NA,NA,NA
"8988","HNRNPF","ENSG00000169813",3185,"10",43385617,43409186,"-"
"8989","ELFN1","ENSG00000225968",392617,"7",1665745,1747946,"+"
"8990","NAP1L4","ENSG00000273562",4676,"11",2944431,2992377,"-"
"8991","100533970",NA,100533970,NA,NA,NA,NA
"8992","CRELD1","ENSG00000163703",78987,"3",9933793,9945413,"+"
"8993","ME3","ENSG00000151376",10873,"11",86441108,86672636,"-"
"8994","ZNF367","ENSG00000165244",195828,"9",96385941,96418370,"-"
"8995","LSM6","ENSG00000164167",11157,"4",146175703,146200000,"+"
"8996","CDKN2AIP","ENSG00000168564",55602,"4",183444635,183449064,"+"
"8997","PCMT1","ENSG00000120265",5110,"6",149749444,149811420,"+"
"8998","SEC11A","ENSG00000140612",23478,"15",84669538,84716460,"-"
"8999","ZNF426","ENSG00000130818",79088,"19",9523223,9538645,"-"
"9000","102723904",NA,102723904,NA,NA,NA,NA
"9001","ENGASE","ENSG00000167280",64772,"17",79074824,79088599,"+"
"9002","RAB33B","ENSG00000172007",83452,"4",139453232,139476609,"+"
"9003","TRAF4","ENSG00000076604",9618,"17",28744011,28750956,"+"
"9004","TMEM67","ENSG00000164953",91147,"8",93754844,93819234,"+"
"9005","MTIF2","ENSG00000085760",4528,"2",55236595,55269347,"-"
"9006","REV1","ENSG00000135945",51455,"2",99400475,99490035,"-"
"9007","PRKRA","ENSG00000180228",8575,"2",178431292,178451512,"-"
"9008","IFT22","ENSG00000128581",64792,"7",101310914,101321823,"-"
"9009","EXOC4","ENSG00000131558",60412,"7",133253072,134067137,"+"
"9010","DMRTA1","ENSG00000176399",63951,"9",22446824,22455740,"+"
"9011","ARFGAP2","ENSG00000149182",84364,"11",47164299,47177125,"-"
"9012","HMG20A","ENSG00000140382",10363,"15",77420412,77485607,"+"
"9013","CEP76","ENSG00000101624",79959,"18",12661833,12702777,"-"
"9014","107987303",NA,107987303,NA,NA,NA,NA
"9015","TCEAL3","ENSG00000196507",85012,"X",103607451,103629690,"+"
"9016","GABPB2","ENSG00000143458",126626,"1",151070578,151125542,"+"
"9017","MSH6","ENSG00000116062",2956,"2",47695530,47810063,"+"
"9018","375133",NA,375133,NA,NA,NA,NA
"9019","DCUN1D2","ENSG00000150401",55208,"13",113455819,113490951,"-"
"9020","EFCAB5","ENSG00000176927",374786,"17",29929200,30108452,"+"
"9021","UNC50","ENSG00000115446",25972,"2",98608579,98618515,"+"
"9022","RGPD6","ENSG00000183054",729540,"2",110513802,110610840,"-"
"9023","TOMM70","ENSG00000154174",9868,"3",100363431,100401089,"-"
"9024","TACR2","ENSG00000075073",6865,"10",69403903,69416918,"-"
"9025","AKAP1","ENSG00000121057",8165,"17",57085092,57121346,"+"
"9026","C16orf96","ENSG00000205832",342346,"16",4556340,4600758,"+"
"9027","S100A5","ENSG00000196420",6276,"1",153537147,153541765,"-"
"9028","100507472",NA,100507472,NA,NA,NA,NA
"9029","PDLIM1","ENSG00000107438",9124,"10",95237572,95291012,"-"
"9030","RBM23","ENSG00000100461",55147,"14",22893204,22919182,"-"
"9031","ZNF554","ENSG00000172006",115196,"19",2819868,2836735,"+"
"9032","GPSM1","ENSG00000160360",26086,"9",136327476,136359605,"+"
"9033","LACC1","ENSG00000179630",144811,"13",43879284,43893932,"+"
"9034","ANXA1","ENSG00000135046",301,"9",73151865,73170629,"+"
"9035","NBPF11","ENSG00000263956",200030,"1",148102047,148152322,"-"
"9036","CMC1","ENSG00000187118",152100,"3",28241584,28325142,"+"
"9037","CCDC149","ENSG00000181982",91050,"4",24803514,24980204,"-"
"9038","SMN2.1","ENSG00000273772",6607,"5",70925030,70953942,"+"
"9039","SLC9A6","ENSG00000198689",10479,"X",135973841,136047269,"+"
"9040","105378443",NA,105378443,NA,NA,NA,NA
"9041","RPUSD3","ENSG00000156990",285367,"3",9837849,9844602,"-"
"9042","LSM4","ENSG00000130520",25804,"19",18306236,18323112,"-"
"9043","KIFC2","ENSG00000167702",90990,"8",144466043,144474202,"+"
"9044","PRSS22","ENSG00000282937",64063,"16",2852730,2858170,"-"
"9045","MFSD4B","ENSG00000173214",91749,"6",111259327,111445354,"+"
"9046","81854",NA,81854,NA,NA,NA,NA
"9047","FAM20B","ENSG00000116199",9917,"1",179025804,179076567,"+"
"9048","CTDSP1","ENSG00000144579",58190,"2",218397136,218405941,"+"
"9049","107987373",NA,107987373,NA,NA,NA,NA
"9050","4550",NA,4550,NA,NA,NA,NA
"9051","LINC00649","ENSG00000237945",100506334,"21",33915534,34039762,"+"
"9052","SLC1A2","ENSG00000110436",6506,"11",35251205,35420063,"-"
"9053","TMEM185B","ENSG00000226479",79134,"2",120217479,120223400,"-"
"9054","UGGT1","ENSG00000136731",56886,"2",128091200,128195677,"+"
"9055","ZBTB11-AS1","ENSG00000256628",100009676,"3",101676421,101679217,"+"
"9056","WDR1","ENSG00000071127",9948,"4",10068089,10116972,"-"
"9057","MRPL14","ENSG00000180992",64928,"6",44113451,44127452,"-"
"9058","RN7SK","ENSG00000283293",125050,"6",52995621,52995948,"+"
"9059","441204",NA,441204,NA,NA,NA,NA
"9060","CAPZA2","ENSG00000198898",830,"7",116811070,116922049,"+"
"9061","FBXO3","ENSG00000110429",26273,"11",33740939,33774543,"-"
"9062","DNAJC14","ENSG00000135392",85406,"12",55820960,55830824,"-"
"9063","MBD6","ENSG00000166987",114785,"12",57520710,57530148,"+"
"9064","MTRFR","ENSG00000130921",91574,"12",123233385,123258079,"+"
"9065","UACA","ENSG00000137831",55075,"15",70654554,70763558,"-"
"9066","PPP1R37","ENSG00000104866",284352,"19",45091396,45148077,"+"
"9067","IRF2BP1","ENSG00000170604",26145,"19",45883608,45886141,"-"
"9068","BRWD3","ENSG00000165288",254065,"X",80669503,80809877,"-"
"9069","SLC16A9","ENSG00000165449",220963,"10",59650764,59736002,"-"
"9070","TUT1","ENSG00000149016",64852,"11",62575045,62591637,"-"
"9071","TBC1D24","ENSG00000162065",57465,"16",2475051,2509671,"+"
"9072","TMEM191C","ENSG00000206140",645426,"22",21466423,21471269,"+"
